TripID	PIN	booking_status
206	895585	Confirmed
206	178096	Pending
207	149976	Confirmed
208	155721	Cancelled
210	261081	Confirmed
211	592884	Confirmed
211	722335	Confirmed
211	448863	Confirmed
212	879549	Confirmed
213	287266	Cancelled
213	738641	Cancelled
213	758285	Cancelled
213	328730	Confirmed
215	548474	Pending
216	482086	Pending
217	551581	Pending
218	161394	Cancelled
219	999999	Confirmed
220	511911	Pending
220	420583	Confirmed
220	512656	Cancelled
221	340264	Pending
221	492200	Confirmed
221	742053	Pending
223	908508	Cancelled
224	340340	Pending
224	486470	Pending
224	640270	Pending
225	522513	Confirmed
226	328782	Confirmed
226	588292	Confirmed
226	885002	Pending
227	571750	Cancelled
227	226765	Pending
228	506314	Confirmed
228	687575	Confirmed
231	367280	Cancelled
232	977312	Pending
233	571009	Confirmed
233	229727	Confirmed
234	245287	Cancelled
235	645061	Cancelled
235	138464	Pending
235	836379	Cancelled
235	543999	Confirmed
236	956369	Cancelled
237	635323	Confirmed
237	499815	Pending
237	383632	Confirmed
237	804097	Confirmed
239	828342	Pending
239	258536	Pending
240	729631	Cancelled
241	227467	Cancelled
242	999999	Confirmed
242	620151	Confirmed
242	661428	Pending
242	413816	Confirmed
244	410678	Cancelled
246	718373	Pending
247	110787	Confirmed
247	178677	Cancelled
248	230264	Pending
248	354514	Confirmed
250	780521	Pending
251	357708	Confirmed
251	721268	Cancelled
252	540279	Pending
253	448863	Pending
253	229727	Confirmed
253	247760	Pending
254	972098	Cancelled
254	341221	Confirmed
254	370663	Confirmed
255	517476	Pending
258	126170	Confirmed
258	464918	Confirmed
262	433274	Pending
262	817235	Confirmed
264	865587	Confirmed
265	575122	Confirmed
265	217706	Pending
265	558409	Confirmed
266	881258	Cancelled
267	637119	Pending
267	492895	Pending
269	675756	Pending
269	127647	Pending
269	144019	Cancelled
269	484102	Cancelled
270	142203	Pending
270	895585	Pending
271	839370	Cancelled
271	639825	Confirmed
272	560569	Confirmed
272	900024	Confirmed
274	956258	Confirmed
278	492895	Pending
278	460499	Cancelled
278	232612	Confirmed
279	847651	Pending
280	865332	Confirmed
280	383632	Cancelled
280	583913	Confirmed
280	204262	Pending
282	440917	Pending
282	634897	Cancelled
282	188771	Confirmed
282	314637	Cancelled
283	551581	Cancelled
283	333642	Pending
284	249117	Cancelled
284	645061	Confirmed
285	229727	Confirmed
286	589060	Cancelled
287	351292	Pending
288	902529	Pending
289	545599	Pending
289	637662	Cancelled
289	784402	Pending
289	475580	Confirmed
290	920486	Confirmed
290	169254	Cancelled
293	874736	Cancelled
294	851717	Cancelled
294	756357	Pending
296	788933	Cancelled
297	395353	Cancelled
299	792637	Confirmed
299	683424	Cancelled
301	119852	Confirmed
303	462764	Confirmed
305	636748	Confirmed
306	915437	Cancelled
309	490395	Pending
312	742766	Confirmed
313	169254	Cancelled
314	934752	Cancelled
314	247760	Pending
315	107307	Cancelled
315	347815	Pending
317	571426	Pending
318	899863	Cancelled
318	482342	Pending
320	823493	Cancelled
321	736639	Cancelled
321	316178	Cancelled
322	370663	Confirmed
322	704380	Confirmed
324	986705	Cancelled
324	262140	Cancelled
326	507753	Cancelled
328	723385	Pending
331	240571	Confirmed
333	105480	Pending
335	914629	Cancelled
335	480642	Pending
336	105323	Pending
338	762645	Cancelled
338	404311	Confirmed
338	645997	Confirmed
340	317311	Pending
341	567575	Cancelled
347	561063	Cancelled
347	302373	Cancelled
348	714971	Confirmed
352	976480	Pending
352	986705	Cancelled
352	340340	Cancelled
354	705656	Pending
354	833695	Confirmed
359	813100	Confirmed
359	793434	Pending
359	169254	Confirmed
360	982211	Confirmed
360	780224	Confirmed
360	624937	Cancelled
361	348761	Confirmed
363	294348	Pending
363	300053	Confirmed
366	606454	Cancelled
367	898441	Cancelled
367	181915	Pending
368	689062	Pending
371	720127	Cancelled
371	198614	Pending
372	525394	Confirmed
372	118826	Cancelled
372	233023	Cancelled
372	756357	Pending
373	895585	Pending
374	924978	Pending
377	444111	Cancelled
381	616020	Confirmed
383	573723	Cancelled
383	112797	Confirmed
385	856332	Confirmed
385	956369	Cancelled
385	153097	Cancelled
388	605208	Cancelled
389	755812	Cancelled
389	988687	Pending
389	417416	Cancelled
390	262140	Pending
391	475580	Cancelled
392	786536	Cancelled
393	803294	Cancelled
393	616020	Confirmed
393	122454	Pending
395	861743	Confirmed
395	391773	Cancelled
395	617307	Confirmed
395	482086	Cancelled
396	751889	Cancelled
398	667263	Pending
398	157580	Confirmed
399	550952	Cancelled
399	245287	Pending
399	901162	Cancelled
401	490086	Confirmed
406	283112	Cancelled
407	505906	Cancelled
407	342947	Pending
408	828342	Cancelled
410	571750	Cancelled
410	172078	Cancelled
410	513366	Confirmed
411	321757	Pending
411	149976	Confirmed
412	398560	Cancelled
413	920486	Pending
413	985312	Cancelled
414	475580	Cancelled
414	244732	Confirmed
415	992628	Pending
415	151511	Confirmed
415	803294	Confirmed
417	666526	Cancelled
417	751889	Confirmed
419	383335	Confirmed
419	121292	Confirmed
420	839370	Pending
420	361492	Confirmed
421	947762	Cancelled
421	278103	Pending
423	960204	Confirmed
424	635036	Confirmed
424	902529	Cancelled
424	973778	Cancelled
424	908445	Pending
425	316178	Confirmed
426	375943	Pending
427	881258	Confirmed
427	912452	Pending
427	300053	Pending
427	399613	Pending
428	140206	Pending
430	246359	Confirmed
431	258536	Cancelled
432	642567	Pending
432	934752	Pending
432	312897	Cancelled
432	834833	Pending
433	543999	Confirmed
434	719678	Cancelled
437	246359	Pending
439	908007	Confirmed
439	164035	Confirmed
440	885002	Confirmed
440	464918	Cancelled
440	640883	Cancelled
441	851717	Cancelled
442	189457	Pending
442	149976	Pending
442	492152	Pending
445	718007	Pending
446	393870	Confirmed
450	899814	Pending
450	403965	Cancelled
450	788199	Confirmed
450	253447	Confirmed
451	939276	Confirmed
452	957118	Confirmed
452	825054	Pending
452	718373	Confirmed
453	535225	Pending
453	815798	Confirmed
453	118826	Cancelled
454	856332	Pending
455	359032	Confirmed
455	360128	Pending
456	388761	Cancelled
456	824681	Cancelled
456	597346	Confirmed
456	569528	Cancelled
457	914736	Confirmed
457	861743	Cancelled
461	375943	Pending
461	146355	Pending
462	898441	Confirmed
465	762645	Confirmed
465	768137	Confirmed
465	735553	Cancelled
465	912792	Cancelled
467	668830	Confirmed
467	426647	Pending
468	751889	Pending
468	990442	Cancelled
469	234110	Confirmed
471	879549	Confirmed
471	393870	Confirmed
473	486326	Pending
473	795607	Cancelled
473	249117	Cancelled
475	839119	Confirmed
477	922997	Cancelled
478	965764	Pending
478	718373	Confirmed
479	188771	Cancelled
480	848910	Cancelled
480	615414	Confirmed
482	567575	Pending
482	665315	Confirmed
482	388761	Cancelled
482	834833	Cancelled
484	181780	Cancelled
486	536106	Pending
487	901162	Pending
487	624937	Confirmed
487	395278	Cancelled
488	146355	Confirmed
488	548474	Confirmed
491	492152	Pending
491	458150	Pending
492	416366	Confirmed
493	234748	Cancelled
493	140206	Pending
494	899863	Cancelled
494	575122	Cancelled
495	881598	Pending
496	960204	Pending
497	317827	Cancelled
498	134930	Confirmed
498	615696	Confirmed
500	668830	Pending
502	500901	Pending
502	523749	Cancelled
502	601985	Confirmed
504	570283	Pending
504	188602	Pending
504	908508	Pending
504	714971	Confirmed
505	842266	Cancelled
507	742053	Cancelled
509	718777	Cancelled
510	636877	Cancelled
511	982211	Cancelled
512	681363	Cancelled
512	417193	Pending
513	328730	Cancelled
513	335184	Pending
513	391773	Confirmed
513	877489	Pending
514	176319	Cancelled
514	816527	Cancelled
516	561063	Confirmed
516	230890	Cancelled
517	808295	Confirmed
517	467117	Confirmed
517	584625	Confirmed
518	505713	Pending
519	498442	Cancelled
519	922997	Confirmed
519	432798	Pending
523	542871	Cancelled
523	488460	Pending
524	931443	Confirmed
526	548857	Pending
526	594963	Confirmed
526	899814	Cancelled
526	302344	Pending
527	750546	Pending
528	312897	Pending
529	261081	Cancelled
532	971857	Confirmed
532	773777	Pending
533	217706	Pending
534	600778	Cancelled
534	583684	Pending
535	635036	Confirmed
536	605208	Pending
536	583913	Confirmed
537	758285	Pending
538	507773	Confirmed
538	911588	Cancelled
540	395858	Pending
542	178745	Cancelled
543	415003	Cancelled
543	477475	Confirmed
544	393870	Confirmed
545	400767	Confirmed
545	166188	Pending
545	132482	Confirmed
546	335184	Confirmed
546	941516	Cancelled
548	899814	Confirmed
549	977312	Confirmed
550	735553	Cancelled
555	697726	Confirmed
556	273680	Pending
556	187417	Cancelled
556	606454	Cancelled
557	962140	Pending
557	287266	Cancelled
559	254385	Confirmed
560	687575	Pending
562	480642	Cancelled
562	176319	Pending
563	334618	Confirmed
564	347516	Confirmed
564	471985	Confirmed
564	736639	Cancelled
565	920486	Cancelled
565	498442	Cancelled
565	923793	Cancelled
565	476309	Cancelled
566	916386	Pending
566	628584	Cancelled
566	540279	Confirmed
566	399379	Pending
568	969541	Cancelled
568	287675	Pending
569	995417	Confirmed
569	258536	Confirmed
569	539225	Cancelled
569	188245	Pending
571	251498	Pending
578	130883	Cancelled
578	512567	Pending
579	254385	Pending
580	922751	Cancelled
581	247760	Cancelled
582	302344	Cancelled
582	700672	Pending
586	616020	Confirmed
586	589060	Cancelled
586	732007	Cancelled
587	403254	Pending
587	477475	Pending
589	940586	Cancelled
590	447612	Pending
590	768333	Confirmed
590	436949	Pending
591	569528	Pending
593	777695	Pending
594	436838	Cancelled
595	192103	Pending
596	273680	Confirmed
596	416366	Confirmed
596	605208	Confirmed
599	931443	Cancelled
601	496881	Pending
602	988687	Pending
603	497415	Pending
603	649313	Pending
604	803527	Cancelled
604	125567	Cancelled
605	170055	Confirmed
606	415003	Confirmed
606	721268	Pending
609	134330	Confirmed
609	802310	Cancelled
610	218010	Cancelled
610	416366	Cancelled
612	506314	Confirmed
613	942646	Cancelled
613	729631	Confirmed
614	915437	Cancelled
614	637119	Cancelled
615	469132	Confirmed
616	722335	Confirmed
616	335184	Confirmed
616	912792	Cancelled
618	460499	Confirmed
619	137748	Cancelled
619	486326	Cancelled
619	624041	Cancelled
620	398560	Pending
620	318868	Cancelled
622	383632	Confirmed
625	939276	Confirmed
626	195102	Confirmed
626	105480	Cancelled
627	976480	Pending
627	681944	Confirmed
628	250564	Pending
628	606454	Cancelled
629	351292	Confirmed
630	999996	Cancelled
630	258536	Cancelled
631	887621	Pending
631	294348	Confirmed
631	820664	Pending
631	157580	Confirmed
632	536491	Confirmed
632	492200	Confirmed
632	388761	Confirmed
633	827212	Pending
635	733110	Cancelled
635	543999	Pending
636	317827	Confirmed
637	416366	Confirmed
638	643857	Cancelled
638	571426	Pending
638	845722	Pending
638	977312	Pending
639	200880	Pending
639	230264	Cancelled
639	314966	Cancelled
640	535225	Pending
641	887621	Cancelled
642	513366	Cancelled
642	333843	Pending
644	872833	Cancelled
646	121316	Pending
647	682132	Confirmed
648	543999	Confirmed
650	107307	Pending
650	697341	Cancelled
651	490395	Pending
651	505906	Confirmed
651	865092	Confirmed
652	287675	Cancelled
654	393870	Cancelled
656	625765	Pending
656	507753	Cancelled
656	232509	Confirmed
656	493941	Pending
657	827212	Confirmed
657	386428	Pending
658	634897	Confirmed
659	715104	Pending
659	342947	Cancelled
659	540279	Cancelled
659	269833	Confirmed
660	432798	Pending
660	391478	Confirmed
661	826447	Confirmed
661	342947	Cancelled
662	340340	Cancelled
665	198802	Confirmed
667	674267	Pending
668	918263	Pending
669	370663	Cancelled
671	178677	Cancelled
671	942646	Confirmed
672	475580	Cancelled
673	334618	Confirmed
674	719678	Confirmed
674	122454	Pending
674	191283	Cancelled
675	681363	Confirmed
676	980374	Pending
678	769016	Pending
678	242780	Pending
678	677148	Cancelled
685	865616	Cancelled
685	122459	Pending
685	722335	Pending
686	808809	Confirmed
686	222143	Confirmed
689	908445	Confirmed
690	556082	Cancelled
690	523749	Pending
692	360128	Confirmed
693	234748	Cancelled
694	302331	Confirmed
694	874736	Cancelled
694	500282	Cancelled
694	171967	Pending
695	179853	Confirmed
695	218979	Cancelled
695	187417	Pending
696	969541	Cancelled
696	264026	Pending
696	314637	Pending
699	685431	Confirmed
699	831883	Confirmed
699	395353	Pending
699	218979	Confirmed
700	947762	Confirmed
702	256867	Pending
702	383406	Cancelled
702	603867	Confirmed
704	523749	Confirmed
704	609841	Cancelled
704	192103	Pending
705	287675	Cancelled
707	714520	Confirmed
707	625765	Confirmed
707	760311	Confirmed
709	115073	Pending
710	624041	Pending
711	995417	Confirmed
711	122454	Confirmed
712	746543	Cancelled
712	662308	Cancelled
713	121292	Cancelled
714	480642	Cancelled
715	592697	Pending
715	494934	Cancelled
716	480642	Confirmed
716	813100	Pending
717	831883	Pending
719	332330	Pending
722	347815	Cancelled
723	877489	Pending
723	506314	Confirmed
724	472690	Confirmed
725	153433	Cancelled
725	474980	Confirmed
725	370663	Pending
725	163640	Pending
727	684888	Cancelled
727	909924	Pending
728	570283	Cancelled
729	486326	Pending
731	637119	Confirmed
731	513366	Confirmed
732	930949	Confirmed
734	333333	Cancelled
735	159567	Cancelled
737	386428	Confirmed
737	957118	Confirmed
739	323323	Pending
739	395353	Confirmed
740	827212	Pending
740	971118	Confirmed
741	899229	Pending
741	127647	Confirmed
742	467117	Cancelled
744	164035	Pending
744	476309	Confirmed
744	861843	Confirmed
745	325518	Confirmed
745	756357	Confirmed
745	687723	Pending
745	815798	Confirmed
749	628584	Cancelled
750	287675	Cancelled
751	227467	Pending
751	382101	Confirmed
753	550952	Cancelled
753	506314	Pending
754	768333	Confirmed
755	872833	Cancelled
755	885002	Cancelled
755	170055	Cancelled
755	877489	Cancelled
756	601985	Cancelled
756	624041	Confirmed
756	792637	Cancelled
757	715104	Cancelled
759	418362	Pending
760	467117	Pending
761	245287	Confirmed
763	802310	Confirmed
763	492152	Cancelled
763	418362	Cancelled
763	178677	Confirmed
765	499377	Pending
766	696611	Pending
766	640270	Cancelled
766	884288	Pending
767	472690	Confirmed
767	300053	Confirmed
768	436838	Confirmed
768	195102	Confirmed
768	834833	Cancelled
768	793434	Confirmed
770	720892	Cancelled
770	768137	Confirmed
771	793434	Cancelled
772	389796	Confirmed
772	261081	Pending
773	677148	Confirmed
774	777695	Cancelled
775	396009	Pending
776	760311	Confirmed
776	536106	Pending
776	176319	Pending
776	965702	Confirmed
778	961151	Cancelled
778	454585	Confirmed
778	399613	Cancelled
782	833695	Pending
782	872891	Confirmed
782	626967	Pending
783	847651	Confirmed
783	561063	Confirmed
784	386318	Cancelled
784	792637	Confirmed
784	399379	Pending
785	727972	Cancelled
787	899814	Pending
787	383406	Confirmed
791	155721	Confirmed
792	651133	Cancelled
792	436949	Confirmed
792	718373	Cancelled
792	686139	Confirmed
793	777695	Pending
793	119852	Confirmed
794	217706	Confirmed
794	122459	Confirmed
794	920168	Pending
795	175343	Confirmed
798	616020	Pending
798	333335	Confirmed
798	773777	Cancelled
799	653505	Pending
799	920486	Cancelled
799	477475	Pending
800	155554	Cancelled
801	198802	Confirmed
802	334498	Confirmed
803	597346	Pending
804	525394	Confirmed
804	667263	Pending
805	962165	Pending
807	941516	Cancelled
807	166188	Cancelled
808	157580	Confirmed
808	721268	Confirmed
808	230264	Cancelled
808	624937	Cancelled
809	781365	Confirmed
809	432798	Pending
810	287266	Confirmed
810	476309	Confirmed
810	879425	Confirmed
812	302344	Confirmed
812	535225	Cancelled
812	161394	Confirmed
813	367280	Pending
813	899262	Cancelled
813	375943	Pending
814	315261	Cancelled
814	887809	Pending
815	333333	Pending
818	156136	Pending
818	687575	Cancelled
818	682545	Pending
819	477475	Confirmed
819	112797	Confirmed
821	467067	Pending
822	909924	Confirmed
822	397731	Confirmed
823	736639	Confirmed
823	543999	Pending
823	393870	Confirmed
825	115073	Cancelled
825	626967	Pending
826	471570	Confirmed
826	592884	Confirmed
826	227467	Cancelled
827	879549	Cancelled
829	720892	Cancelled
829	556082	Pending
831	159567	Pending
831	738423	Confirmed
831	645061	Cancelled
832	781312	Pending
833	188245	Cancelled
833	976480	Confirmed
835	417193	Cancelled
835	911588	Pending
836	820664	Confirmed
836	865332	Confirmed
836	858658	Cancelled
836	250564	Pending
837	556082	Cancelled
837	703915	Pending
837	923793	Confirmed
839	450058	Cancelled
839	543078	Confirmed
840	714971	Pending
842	517476	Cancelled
842	681944	Cancelled
843	391773	Pending
845	254385	Confirmed
845	281562	Pending
845	260643	Confirmed
845	417416	Pending
847	418362	Cancelled
849	930949	Pending
849	294348	Confirmed
849	639825	Confirmed
849	923322	Confirmed
851	400177	Cancelled
852	715104	Confirmed
852	720127	Confirmed
856	505906	Pending
856	795607	Cancelled
858	391478	Confirmed
859	335184	Confirmed
859	988687	Pending
860	321117	Pending
861	426647	Confirmed
863	536491	Pending
865	294348	Cancelled
865	254385	Confirmed
865	178677	Confirmed
866	750546	Cancelled
867	803527	Confirmed
869	548474	Cancelled
869	169254	Pending
870	115073	Cancelled
870	185513	Confirmed
871	988687	Confirmed
871	130883	Confirmed
872	342947	Confirmed
872	252699	Pending
872	594963	Cancelled
872	325518	Confirmed
873	583684	Confirmed
873	500901	Pending
875	467067	Cancelled
875	592697	Cancelled
876	519768	Confirmed
877	171967	Pending
878	317827	Pending
879	571750	Cancelled
881	304567	Pending
881	592884	Cancelled
881	286760	Pending
882	723896	Cancelled
884	788933	Cancelled
885	723263	Pending
885	292207	Confirmed
885	255839	Pending
886	581483	Pending
887	252137	Cancelled
887	920168	Pending
888	507753	Confirmed
889	803527	Pending
889	499377	Confirmed
890	651133	Confirmed
890	233023	Confirmed
890	971857	Pending
890	399379	Confirmed
893	909924	Cancelled
895	724174	Confirmed
895	340340	Cancelled
896	505713	Confirmed
897	225360	Confirmed
897	277969	Pending
900	826106	Confirmed
900	249117	Pending
900	471570	Pending
900	499815	Confirmed
902	250564	Cancelled
902	719678	Pending
902	271855	Pending
902	561814	Confirmed
903	407189	Confirmed
903	700124	Confirmed
904	705656	Cancelled
905	323323	Cancelled
905	132482	Cancelled
905	543999	Pending
906	804097	Cancelled
906	335184	Confirmed
906	755812	Cancelled
908	482086	Cancelled
908	912792	Confirmed
908	634897	Confirmed
908	762645	Cancelled
912	824681	Cancelled
912	391478	Pending
912	856332	Confirmed
913	920168	Cancelled
914	150379	Cancelled
916	339429	Confirmed
917	592884	Confirmed
921	477475	Pending
921	998394	Pending
923	592697	Cancelled
925	450217	Pending
926	999998	Confirmed
927	597346	Pending
927	252699	Confirmed
928	768137	Confirmed
929	644704	Confirmed
930	677148	Cancelled
930	219704	Pending
931	828342	Confirmed
931	118826	Cancelled
931	956035	Confirmed
932	244732	Confirmed
932	486470	Confirmed
932	569528	Pending
933	525394	Pending
935	804097	Cancelled
936	499377	Confirmed
936	407189	Confirmed
937	584625	Cancelled
937	914736	Confirmed
938	900024	Confirmed
939	991173	Cancelled
939	486877	Pending
939	577959	Confirmed
940	358117	Confirmed
940	448863	Confirmed
940	413515	Pending
941	735063	Confirmed
941	415003	Confirmed
941	118826	Pending
941	983321	Cancelled
943	452403	Pending
945	429639	Pending
946	245287	Confirmed
947	492152	Cancelled
947	946277	Pending
947	960150	Pending
949	768137	Confirmed
949	788199	Pending
949	436838	Cancelled
951	358117	Cancelled
951	915437	Pending
953	348761	Pending
955	651133	Pending
958	450217	Pending
958	369000	Cancelled
958	969541	Confirmed
959	956258	Cancelled
959	389591	Pending
960	178745	Pending
960	290286	Cancelled
960	317311	Cancelled
961	252137	Confirmed
961	542871	Confirmed
961	115357	Cancelled
964	249312	Pending
965	961151	Cancelled
965	808809	Cancelled
965	817235	Pending
966	134930	Confirmed
967	302373	Cancelled
967	482342	Cancelled
967	494934	Pending
968	119852	Pending
970	682545	Pending
970	343348	Confirmed
970	166188	Cancelled
970	153097	Confirmed
971	780224	Cancelled
972	389591	Cancelled
972	956035	Cancelled
973	620151	Pending
973	922997	Cancelled
974	571009	Confirmed
974	500282	Cancelled
975	901162	Cancelled
975	191283	Pending
977	715104	Pending
979	621223	Pending
980	418362	Cancelled
980	414533	Cancelled
980	640270	Pending
981	282434	Confirmed
982	370663	Pending
982	396009	Cancelled
983	316178	Cancelled
983	601985	Pending
983	817235	Pending
985	777866	Pending
986	178745	Cancelled
986	452403	Pending
987	621223	Confirmed
988	404311	Cancelled
993	802310	Pending
993	492152	Cancelled
993	718007	Cancelled
994	856332	Pending
994	433274	Pending
1003	513366	Cancelled
1004	468714	Cancelled
1007	225360	Pending
1007	804097	Confirmed
1007	282434	Pending
1008	879549	Confirmed
1009	686139	Confirmed
1009	723263	Pending
1011	471985	Cancelled
1011	181915	Cancelled
1012	156136	Pending
1013	333843	Pending
1014	792637	Pending
1014	884288	Confirmed
1015	681944	Confirmed
1017	644704	Pending
1018	500282	Cancelled
1018	318868	Pending
1018	971118	Cancelled
1018	178745	Pending
1019	558409	Confirmed
1019	941300	Pending
1020	804097	Confirmed
1021	230926	Pending
1022	862600	Cancelled
1022	822266	Cancelled
1023	783401	Pending
1023	232509	Cancelled
1024	383406	Confirmed
1025	823493	Pending
1027	340264	Pending
1028	162668	Confirmed
1030	885002	Confirmed
1031	447612	Confirmed
1031	467067	Pending
1031	668830	Pending
1033	609566	Pending
1033	803294	Cancelled
1033	217706	Cancelled
1034	685431	Pending
1034	180144	Confirmed
1038	367280	Cancelled
1039	805260	Confirmed
1042	188771	Confirmed
1042	425916	Cancelled
1043	176319	Pending
1044	645997	Pending
1046	284015	Cancelled
1046	571426	Pending
1046	398560	Cancelled
1046	254385	Pending
1051	450058	Cancelled
1052	769018	Pending
1054	738641	Pending
1055	865092	Cancelled
1057	848910	Pending
1057	170055	Cancelled
1058	188771	Cancelled
1058	986705	Pending
1062	986705	Pending
1062	971118	Pending
1065	512656	Confirmed
1066	507773	Cancelled
1068	230926	Cancelled
1069	486877	Pending
1070	333642	Confirmed
1070	667263	Confirmed
1070	965702	Pending
1072	141545	Confirmed
1072	861843	Pending
1072	122454	Confirmed
1072	416366	Pending
1073	865587	Pending
1074	264026	Cancelled
1074	335184	Pending
1074	499815	Cancelled
1078	942646	Cancelled
1078	600695	Cancelled
