PIN	membership_status
738641	Silver
856332	Gold
737306	Bronze
321757	Silver
735553	None
188602	Bronze
105480	Silver
383335	Bronze
662308	Gold
140206	Gold
500282	Silver
332330	None
624653	Silver
674267	Bronze
390774	Silver
907585	Silver
523818	Silver
782155	Silver
542949	Silver
340340	Gold
357708	Silver
643857	Silver
179853	None
636877	Silver
956369	None
218010	Gold
395278	Gold
118826	None
573723	Silver
971857	None
724174	Silver
865332	None
561063	Bronze
317311	Silver
503714	Gold
666526	Bronze
204262	None
245287	Silver
304567	Gold
768333	None
244732	Bronze
326515	Silver
827212	Bronze
218979	Silver
921396	Silver
287266	Bronze
638366	None
805381	None
882635	None
404311	Gold
153268	Bronze
901162	None
634897	None
351292	Silver
438016	Bronze
606454	Gold
153097	Silver
482342	None
175343	Silver
499377	Silver
651918	None
872833	Silver
861743	Silver
180144	Gold
759953	Bronze
230264	None
452403	Bronze
171967	None
769016	Bronze
584625	Bronze
983321	Silver
399613	Bronze
432798	Bronze
333642	Gold
230890	Bronze
915437	Gold
258474	None
826106	None
152748	Gold
998866	None
617307	Bronze
340264	Silver
697380	Gold
943140	None
986705	Silver
543078	Silver
151511	Gold
217706	Gold
908281	None
930664	Gold
668830	Bronze
908007	Silver
575122	Silver
314966	Gold
732007	Bronze
178745	Gold
476309	Silver
972098	Gold
815798	Silver
571426	Gold
100714	Gold
433274	Bronze
808295	None
512656	None
703915	Bronze
719275	Gold
721268	Bronze
447380	Bronze
589060	Silver
492152	Gold
584013	Silver
867296	Gold
718007	None
398560	Gold
583684	Gold
577959	Gold
755562	Bronze
127647	Bronze
391773	Bronze
930949	Bronze
615696	Gold
260643	Silver
969541	Gold
780224	None
517390	Silver
219704	None
462764	Silver
900024	Gold
879549	Silver
832856	Bronze
861843	Gold
924978	None
510980	Bronze
108782	Bronze
227467	Bronze
624937	Silver
146355	Silver
746079	Gold
126170	Bronze
279240	Bronze
302373	Gold
780521	Bronze
995417	Bronze
628584	None
274563	Silver
535225	Silver
172078	Bronze
872891	Bronze
159567	Gold
887621	Gold
960150	Bronze
234748	Silver
436838	Bronze
284015	Gold
386428	None
600778	Gold
249312	Gold
249117	Gold
681944	None
825054	Silver
918263	Gold
640883	Silver
817235	Gold
682545	Bronze
833695	None
600695	Silver
524751	None
762645	Bronze
840037	Bronze
431252	Gold
644704	Bronze
894091	Gold
262140	Bronze
496881	Bronze
620151	Silver
688390	Bronze
468714	Gold
858658	Gold
592697	Gold
642567	Bronze
494934	None
302344	Bronze
596040	Silver
751889	Gold
492200	None
292207	Gold
396618	None
369000	Gold
716996	None
198614	Gold
116297	Silver
651491	None
594963	Silver
314020	Gold
490086	Bronze
802111	None
255839	Silver
788199	Bronze
493941	Gold
314637	Bronze
507753	None
700124	Gold
229727	None
969861	Silver
543999	Gold
169254	Gold
637662	Gold
729631	Gold
653505	Bronze
998394	None
920486	Bronze
912452	Silver
965764	Bronze
417416	Silver
413515	Bronze
383406	None
142203	Gold
258536	None
187417	Gold
395858	Gold
162668	Gold
733531	Silver
648299	Silver
115357	Gold
447612	Gold
548474	Bronze
763993	Silver
448863	Bronze
949777	None
756357	Silver
298146	Silver
328730	Silver
234110	Bronze
425916	None
300053	Bronze
649313	Gold
697341	Silver
626967	None
271855	Gold
733110	Bronze
249218	None
947762	Bronze
609841	None
278103	Bronze
831883	None
252699	Gold
632613	Silver
769018	None
389796	None
389591	Gold
333333	Gold
588292	Bronze
542871	Bronze
823493	Bronze
232612	Silver
813100	Silver
536106	Gold
361819	Gold
264026	Silver
240541	Bronze
839370	Silver
134930	Bronze
388761	Silver
334618	Silver
705656	Bronze
557699	Silver
750546	Gold
497415	Silver
635036	Bronze
977312	Bronze
834833	None
144019	Bronze
261081	Silver
414533	Bronze
803294	None
232509	Bronze
471985	Bronze
484102	Silver
217000	None
181780	None
686139	Silver
545599	Silver
548857	None
802310	Bronze
156136	Bronze
639825	Silver
325518	None
371872	Bronze
550952	Gold
391478	Silver
592884	Bronze
781312	None
540279	Gold
156000	Gold
153433	Gold
375943	Gold
687723	Gold
689768	Bronze
781365	None
426647	Silver
962165	Gold
611356	Gold
609566	Silver
176319	Gold
804423	Gold
192103	None
312897	None
316178	None
536491	Gold
885002	None
127723	Silver
450217	Gold
877489	None
349644	None
735063	Silver
645997	Gold
111140	Gold
988374	Silver
170055	Bronze
318868	Silver
403254	Silver
240057	Bronze
155721	None
784402	Bronze
835081	Gold
225360	Bronze
515486	None
496319	Bronze
441783	None
436949	Bronze
230926	Gold
458150	Gold
317827	Bronze
973325	Gold
719678	Silver
480642	Gold
747158	None
874736	Bronze
956258	Silver
569528	None
903965	Silver
648910	None
488597	None
806324	Silver
416366	Silver
222143	Silver
956035	None
226765	Gold
624041	Silver
804097	Gold
486326	None
317532	Bronze
106828	Bronze
727972	Gold
150379	Gold
178677	Silver
420583	Gold
407189	Gold
123700	None
161394	Gold
222596	Silver
722335	Silver
410678	None
684888	Silver
689062	None
348761	Gold
637119	Gold
865587	None
777866	Gold
836379	Gold
696403	None
884288	None
511911	Bronze
399379	Gold
386808	Silver
254385	Silver
697726	Silver
950080	Gold
845722	Silver
122454	Silver
464918	None
561814	Silver
933675	Silver
704380	Gold
166188	Silver
365065	Silver
934991	None
523749	None
848910	Gold
247760	Silver
621223	Bronze
723263	Gold
525394	None
506314	None
323323	None
556082	Gold
960204	Gold
188245	None
583913	None
914736	None
339429	Bronze
950613	Gold
130883	Gold
990442	Silver
242780	Gold
991173	Bronze
354514	Gold
636748	Silver
405487	Bronze
899229	Silver
760311	Silver
828342	None
294348	None
851717	Silver
941516	None
961151	Bronze
367280	Silver
499815	Gold
195102	None
571009	Gold
500901	None
661428	None
899863	Bronze
203509	Bronze
824681	Bronze
635323	Bronze
302331	Gold
714520	None
899814	Gold
178663	None
581483	None
533177	Gold
343348	None
200880	None
251498	Gold
273680	Gold
329823	Bronze
333843	None
999999	Gold
999998	Gold
999997	Gold
999996	Gold
