TripID	CarID	date	departure	destination	num_seats_available
199	74	2025-02-05	San Jose	New York	1
200	74	2025-02-08	New York	Phoenix	4
201	75	2025-01-02	Philadelphia	San Antonio	2
202	76	2025-01-31	Philadelphia	Los Angeles	3
203	76	2024-12-11	San Diego	Chicago	3
204	77	2025-02-13	Houston	Los Angeles	3
205	78	2025-01-27	San Diego	Chicago	2
206	78	2025-01-06	Dallas	Houston	2
207	78	2024-12-07	New York	Dallas	2
208	80	2025-02-25	San Antonio	Phoenix	1
209	80	2024-12-01	Houston	Philadelphia	1
210	80	2025-01-07	Houston	San Jose	3
211	80	2025-01-23	San Antonio	Houston	4
212	80	2024-12-16	Phoenix	Houston	4
213	81	2024-12-04	San Antonio	Chicago	4
214	81	2024-12-19	Houston	San Antonio	2
215	82	2024-12-19	Chicago	San Diego	4
216	82	2024-12-07	Los Angeles	Phoenix	1
217	82	2024-11-28	Houston	San Diego	3
218	83	2024-11-30	Dallas	Phoenix	3
219	83	2025-02-06	Philadelphia	Phoenix	4
220	83	2025-01-16	San Jose	Los Angeles	4
221	84	2024-12-18	Phoenix	Houston	3
222	85	2024-12-23	Phoenix	New York	1
223	85	2025-01-22	Houston	New York	1
224	85	2025-01-24	Dallas	Los Angeles	4
225	86	2024-11-28	San Diego	San Jose	2
226	87	2025-01-11	Philadelphia	Los Angeles	3
227	87	2024-12-22	Phoenix	Los Angeles	2
228	87	2024-12-15	Dallas	Phoenix	2
229	87	2025-01-12	San Antonio	Philadelphia	3
230	88	2025-02-06	Chicago	Dallas	1
231	88	2024-12-30	San Jose	Philadelphia	1
232	88	2024-12-01	Dallas	Los Angeles	1
233	88	2024-12-09	Philadelphia	Dallas	3
234	89	2025-02-10	Chicago	San Antonio	2
235	89	2025-02-04	Chicago	New York	4
236	89	2025-01-01	San Jose	Dallas	1
237	89	2025-01-03	San Jose	New York	4
238	90	2024-12-03	Dallas	Phoenix	2
239	91	2024-12-25	Dallas	Chicago	4
240	92	2025-01-09	Dallas	Philadelphia	4
241	93	2024-12-03	Philadelphia	Houston	1
242	94	2025-01-10	Phoenix	San Jose	4
243	94	2025-02-10	Chicago	Dallas	1
244	94	2024-12-03	Dallas	Los Angeles	2
245	95	2025-01-03	Chicago	Houston	1
246	95	2025-02-08	Chicago	San Antonio	4
247	95	2024-12-05	San Diego	San Antonio	2
248	96	2025-02-02	Dallas	Chicago	3
249	96	2025-01-11	Los Angeles	New York	3
250	96	2024-12-28	Chicago	Phoenix	2
251	96	2024-12-13	San Antonio	Phoenix	4
252	96	2024-12-11	San Antonio	Houston	1
253	97	2025-01-25	Philadelphia	Dallas	4
254	98	2025-02-16	Los Angeles	San Diego	3
255	98	2025-01-22	Philadelphia	Phoenix	4
256	98	2025-02-12	Phoenix	San Jose	3
257	99	2025-01-31	Dallas	Phoenix	2
258	99	2024-12-03	Philadelphia	San Antonio	4
259	99	2024-12-31	Phoenix	San Antonio	2
260	99	2025-01-22	San Diego	San Antonio	4
261	100	2025-02-03	Philadelphia	Houston	2
262	100	2025-02-13	San Jose	Phoenix	4
263	100	2024-12-29	Phoenix	Los Angeles	1
264	100	2024-12-30	Chicago	San Diego	4
265	101	2024-12-22	Philadelphia	New York	3
266	101	2024-12-20	Dallas	Phoenix	2
267	101	2025-02-03	San Jose	San Antonio	2
268	101	2025-02-07	Chicago	San Jose	4
269	102	2025-01-09	Dallas	San Diego	4
270	103	2025-02-15	Dallas	Phoenix	2
271	104	2024-12-15	Los Angeles	Philadelphia	2
272	104	2024-12-20	Chicago	Dallas	2
273	104	2025-01-17	Los Angeles	San Jose	1
274	104	2024-12-10	Philadelphia	San Antonio	2
275	105	2024-12-30	New York	Houston	3
276	105	2025-02-03	Chicago	San Jose	3
277	106	2025-01-07	Los Angeles	San Antonio	2
278	106	2025-01-08	New York	Houston	3
279	106	2025-02-06	Los Angeles	San Antonio	4
280	107	2025-01-31	Phoenix	Houston	4
281	107	2024-12-26	Chicago	San Diego	4
282	107	2025-02-21	Phoenix	Chicago	4
283	107	2025-02-20	New York	Philadelphia	3
284	108	2025-01-16	Phoenix	San Diego	2
285	108	2025-01-02	Los Angeles	Dallas	3
286	108	2025-01-04	Houston	Philadelphia	1
287	109	2025-01-09	Phoenix	Chicago	1
288	110	2025-02-08	Los Angeles	New York	3
289	111	2025-02-13	San Antonio	San Diego	4
290	112	2024-12-05	San Diego	New York	4
291	112	2024-12-15	San Diego	Phoenix	1
292	112	2024-12-12	San Antonio	Phoenix	3
293	113	2024-12-13	New York	San Antonio	1
294	113	2025-01-30	San Diego	Los Angeles	2
295	114	2024-12-05	San Jose	Chicago	1
296	114	2024-12-20	Houston	San Antonio	3
297	114	2025-01-16	Chicago	San Jose	3
298	114	2025-01-28	Philadelphia	Phoenix	3
299	114	2024-12-07	San Jose	Chicago	3
300	115	2025-01-29	San Diego	Phoenix	3
301	115	2025-01-02	San Diego	Dallas	1
302	115	2025-01-20	Dallas	Phoenix	1
303	115	2024-12-02	San Jose	San Diego	3
304	116	2025-01-03	Phoenix	Los Angeles	4
305	116	2025-02-24	San Antonio	Philadelphia	1
306	116	2024-12-10	Phoenix	San Antonio	3
307	116	2025-02-14	Chicago	San Diego	4
308	117	2025-01-10	San Diego	Philadelphia	3
309	118	2025-02-20	Phoenix	Philadelphia	2
310	118	2025-01-05	Phoenix	San Diego	1
311	118	2025-02-09	New York	Houston	1
312	119	2025-02-01	San Diego	Philadelphia	4
313	119	2024-11-28	Dallas	New York	2
314	119	2025-01-10	Los Angeles	San Jose	3
315	120	2025-02-16	San Jose	Phoenix	2
316	120	2025-02-09	Chicago	Philadelphia	2
317	121	2025-02-24	San Antonio	New York	1
318	122	2025-01-18	Houston	New York	4
319	122	2025-02-17	San Diego	Dallas	1
320	122	2024-11-30	San Jose	Philadelphia	1
321	124	2025-02-17	Los Angeles	New York	2
322	125	2025-01-08	San Jose	Chicago	3
323	126	2025-02-17	Philadelphia	Los Angeles	1
324	126	2025-02-19	New York	Dallas	2
325	126	2024-12-03	Philadelphia	San Diego	4
326	127	2024-12-20	San Jose	Dallas	3
327	127	2025-01-08	Phoenix	San Antonio	2
328	127	2025-02-09	Philadelphia	San Antonio	2
329	127	2024-12-27	San Antonio	Philadelphia	2
330	128	2025-02-02	Houston	Dallas	1
331	128	2024-12-10	Dallas	Houston	2
332	128	2025-02-04	Philadelphia	San Jose	4
333	128	2025-02-19	Phoenix	San Jose	1
334	129	2025-02-11	Los Angeles	Houston	2
335	130	2024-12-07	San Antonio	Philadelphia	4
336	131	2024-12-17	San Diego	San Antonio	2
337	131	2024-12-05	San Diego	Houston	2
338	131	2025-02-19	New York	Houston	3
339	132	2025-02-19	Dallas	San Antonio	1
340	132	2024-12-03	San Diego	Chicago	1
341	133	2024-12-29	Dallas	Los Angeles	1
342	133	2025-02-17	Philadelphia	San Jose	4
343	134	2025-02-15	San Antonio	Houston	2
344	134	2024-12-15	Phoenix	Houston	3
345	134	2024-12-10	San Diego	Phoenix	4
346	134	2025-01-13	Dallas	San Diego	1
347	134	2025-02-17	San Jose	San Antonio	4
348	135	2025-01-23	Dallas	Philadelphia	3
349	135	2025-02-21	Houston	New York	3
350	136	2024-12-04	New York	San Antonio	1
351	136	2025-02-24	New York	Houston	4
352	136	2025-02-25	Houston	Dallas	3
353	136	2025-02-16	Houston	New York	2
354	136	2025-01-05	Los Angeles	Dallas	3
355	137	2024-12-10	Chicago	Los Angeles	3
356	138	2025-01-15	Philadelphia	New York	3
357	138	2024-12-23	Chicago	New York	2
358	138	2025-02-12	Phoenix	Philadelphia	1
359	138	2024-12-24	Phoenix	San Antonio	4
360	138	2024-12-02	Los Angeles	San Antonio	4
361	139	2025-01-28	San Jose	Philadelphia	2
362	140	2025-01-18	Houston	New York	2
363	141	2025-01-11	Philadelphia	San Diego	4
364	141	2024-12-24	Philadelphia	San Diego	2
365	141	2024-12-23	Dallas	Los Angeles	3
366	142	2024-12-14	New York	Los Angeles	1
367	142	2024-12-15	Chicago	Philadelphia	2
368	142	2025-02-06	Dallas	Philadelphia	2
369	143	2025-01-01	Houston	Los Angeles	1
370	143	2025-02-16	Philadelphia	New York	1
371	143	2024-12-05	Los Angeles	New York	3
372	143	2024-12-26	Chicago	San Antonio	4
373	144	2024-12-24	Dallas	San Jose	1
374	144	2024-12-30	Phoenix	San Antonio	2
375	145	2024-12-05	Chicago	San Diego	3
376	146	2024-12-22	Houston	San Jose	1
377	146	2025-02-13	Houston	New York	4
378	146	2024-12-14	Chicago	San Antonio	2
379	147	2025-01-31	Philadelphia	Dallas	2
380	147	2025-01-12	Dallas	New York	2
381	147	2024-12-26	San Jose	Philadelphia	1
382	147	2025-01-16	San Antonio	Los Angeles	2
383	148	2025-01-28	Chicago	Houston	2
384	149	2025-01-12	San Jose	Dallas	1
385	149	2025-01-17	San Diego	San Jose	3
386	149	2024-12-23	Chicago	Houston	2
387	149	2025-01-14	New York	Houston	1
388	149	2024-12-15	Phoenix	Houston	4
389	150	2025-01-22	Dallas	Philadelphia	3
390	151	2025-01-09	Houston	Chicago	2
391	151	2024-12-26	San Diego	Los Angeles	4
392	151	2025-01-17	San Antonio	New York	4
393	151	2025-01-05	San Jose	San Antonio	4
394	151	2025-01-01	Dallas	New York	3
395	153	2024-12-03	Philadelphia	Los Angeles	4
396	153	2024-12-16	San Antonio	San Diego	2
397	153	2025-02-23	Chicago	New York	3
398	153	2025-02-12	San Diego	Philadelphia	4
399	153	2025-02-25	Phoenix	Los Angeles	4
400	154	2025-01-12	San Antonio	Dallas	4
401	154	2025-01-06	San Jose	San Diego	2
402	154	2025-02-21	New York	Chicago	2
403	155	2025-02-23	San Diego	Los Angeles	4
404	155	2025-01-31	Philadelphia	Chicago	2
405	155	2025-01-04	Los Angeles	San Jose	3
406	156	2025-02-18	Phoenix	New York	2
407	156	2024-12-27	Dallas	San Diego	3
408	156	2024-12-26	Houston	Los Angeles	2
409	156	2025-01-25	San Antonio	San Jose	4
410	156	2025-02-10	San Jose	Phoenix	4
411	157	2024-12-10	Phoenix	Dallas	4
412	157	2025-02-11	Chicago	Phoenix	4
413	157	2024-12-18	San Antonio	Philadelphia	2
414	157	2024-12-27	New York	San Jose	2
415	157	2025-01-06	Houston	San Antonio	3
416	158	2025-02-25	San Diego	San Jose	2
417	158	2025-01-25	Dallas	Chicago	3
418	158	2024-12-03	San Diego	Los Angeles	1
419	158	2025-02-11	Houston	San Antonio	2
420	159	2024-12-04	Dallas	New York	4
421	159	2025-01-11	San Jose	San Antonio	2
422	160	2025-01-19	San Jose	Dallas	3
423	160	2024-12-01	Houston	Los Angeles	3
424	160	2024-12-07	Chicago	New York	4
425	160	2025-01-06	Houston	San Antonio	2
426	161	2025-01-11	San Antonio	Philadelphia	2
427	161	2024-12-05	New York	Chicago	4
428	161	2025-02-18	Los Angeles	Philadelphia	3
429	161	2025-02-19	New York	San Diego	1
430	161	2025-01-19	Philadelphia	San Diego	4
431	162	2025-01-12	Chicago	San Antonio	4
432	163	2024-12-16	Chicago	Phoenix	4
433	163	2024-12-30	New York	Philadelphia	3
434	163	2025-01-31	Phoenix	Chicago	1
435	163	2025-01-26	Phoenix	Philadelphia	1
436	164	2024-12-15	New York	Dallas	4
437	164	2025-01-27	San Antonio	Philadelphia	2
438	165	2025-01-22	San Jose	Houston	3
439	166	2024-11-30	Houston	San Jose	2
440	166	2024-12-08	Phoenix	San Antonio	4
441	166	2025-02-10	Los Angeles	Houston	2
442	166	2025-01-03	Philadelphia	Phoenix	4
443	166	2025-01-26	New York	Dallas	3
444	167	2025-01-05	Chicago	Philadelphia	2
445	167	2025-02-21	Philadelphia	Los Angeles	4
446	167	2025-01-11	Chicago	New York	2
447	168	2024-12-31	San Jose	Phoenix	1
448	168	2024-12-25	Houston	San Diego	3
449	168	2024-12-18	San Antonio	New York	4
450	168	2025-02-19	Chicago	Houston	4
451	169	2024-12-23	San Antonio	San Diego	1
452	169	2024-12-02	Dallas	Phoenix	3
453	169	2024-12-10	New York	Houston	3
454	169	2025-01-24	San Antonio	Philadelphia	3
455	169	2025-02-19	Phoenix	Houston	2
456	170	2025-02-04	San Antonio	Dallas	4
457	170	2024-12-14	Dallas	Chicago	3
458	171	2025-02-19	Philadelphia	New York	1
459	171	2025-01-18	Chicago	San Jose	1
460	172	2025-02-23	New York	San Diego	3
461	172	2025-01-18	New York	Los Angeles	2
462	173	2024-12-18	San Antonio	New York	1
463	173	2024-12-04	New York	San Jose	3
464	173	2024-12-13	Dallas	New York	1
465	173	2025-02-22	Dallas	San Antonio	4
466	174	2025-01-30	New York	San Jose	1
467	174	2024-12-06	Dallas	Chicago	3
468	174	2024-12-26	Philadelphia	San Antonio	3
469	175	2024-12-31	Phoenix	New York	2
470	176	2025-01-25	Phoenix	Los Angeles	1
471	176	2025-02-08	Philadelphia	Chicago	3
472	176	2024-12-10	Phoenix	San Antonio	2
473	177	2025-02-21	San Antonio	Houston	3
474	177	2024-12-22	Phoenix	Houston	3
475	177	2025-02-22	Los Angeles	San Jose	1
476	178	2024-12-01	San Diego	Dallas	4
477	178	2024-12-19	Dallas	New York	3
478	178	2024-12-25	New York	San Antonio	4
479	178	2024-12-30	San Diego	Chicago	3
480	178	2024-12-04	San Jose	Phoenix	3
481	179	2025-02-06	San Jose	Houston	1
482	179	2025-01-10	Philadelphia	San Antonio	4
483	179	2024-12-02	Houston	Philadelphia	1
484	180	2024-12-26	Phoenix	New York	4
485	181	2025-02-20	Phoenix	San Jose	3
486	181	2025-01-03	Los Angeles	Chicago	1
487	181	2025-02-01	Chicago	Houston	3
488	181	2025-01-09	Houston	San Jose	4
489	181	2025-01-29	San Jose	Phoenix	1
490	182	2024-12-22	Los Angeles	Philadelphia	2
491	182	2025-02-04	Los Angeles	San Diego	2
492	182	2025-02-24	San Diego	Phoenix	2
493	182	2025-02-15	Dallas	Houston	3
494	182	2025-01-06	San Antonio	New York	2
495	183	2024-12-04	Philadelphia	San Jose	3
496	183	2024-12-23	Phoenix	Los Angeles	4
497	184	2024-12-14	Los Angeles	San Antonio	1
498	184	2025-01-27	Philadelphia	Phoenix	2
499	184	2025-01-01	Houston	San Antonio	3
500	184	2024-12-28	Los Angeles	San Jose	1
501	184	2025-01-13	Dallas	Houston	4
502	185	2025-01-08	Philadelphia	Los Angeles	3
503	185	2025-02-06	New York	Chicago	1
504	186	2024-11-30	Dallas	Phoenix	4
505	187	2025-01-30	New York	Los Angeles	3
506	187	2025-01-21	New York	Chicago	1
507	187	2024-12-15	Phoenix	Philadelphia	2
508	188	2025-02-17	Dallas	San Jose	2
509	188	2025-01-19	San Antonio	Los Angeles	4
510	188	2025-01-28	Los Angeles	Chicago	3
511	189	2024-12-29	San Jose	San Antonio	2
512	189	2024-11-29	New York	Dallas	3
513	189	2025-02-16	Houston	San Antonio	4
514	189	2025-02-15	Philadelphia	San Diego	2
515	190	2024-12-19	Phoenix	Philadelphia	4
516	190	2024-12-14	Dallas	Houston	2
517	190	2024-12-21	Los Angeles	San Antonio	3
518	190	2025-01-10	Philadelphia	Dallas	1
519	191	2025-01-06	Phoenix	Philadelphia	3
520	191	2025-01-30	Houston	San Diego	2
521	191	2024-12-09	San Antonio	Phoenix	2
522	191	2025-01-02	San Jose	Dallas	3
523	192	2024-12-25	Houston	San Diego	3
524	192	2024-12-02	San Antonio	Dallas	3
525	192	2025-01-18	San Jose	Houston	3
526	192	2025-01-31	New York	San Antonio	4
527	192	2024-12-24	Dallas	San Antonio	1
528	193	2025-01-03	San Jose	Chicago	2
529	194	2025-02-14	San Antonio	Phoenix	2
530	195	2024-12-26	New York	Chicago	1
531	195	2024-11-28	Los Angeles	Philadelphia	1
532	195	2024-12-15	Phoenix	Houston	3
533	196	2024-12-12	San Jose	San Diego	1
534	197	2024-12-12	Los Angeles	New York	2
535	197	2025-01-11	San Diego	San Antonio	1
536	197	2024-12-06	San Antonio	San Diego	2
537	197	2024-12-27	Chicago	Phoenix	3
538	197	2025-02-07	San Jose	Dallas	3
539	198	2024-11-29	Chicago	Phoenix	3
540	198	2024-12-17	Philadelphia	Phoenix	1
541	198	2024-12-01	San Diego	San Jose	1
542	199	2025-01-21	Los Angeles	Phoenix	2
543	199	2025-02-16	San Jose	Phoenix	2
544	200	2024-12-29	San Jose	San Diego	1
545	200	2025-01-03	Phoenix	San Diego	3
546	201	2024-12-06	San Diego	Houston	3
547	201	2025-01-31	Dallas	Houston	3
548	201	2025-02-19	Phoenix	San Jose	1
549	201	2025-01-11	San Jose	San Antonio	4
550	202	2024-12-03	Los Angeles	Phoenix	2
551	202	2024-12-02	Dallas	New York	3
552	202	2025-01-05	San Diego	Phoenix	1
553	203	2024-12-05	San Antonio	San Jose	1
554	203	2024-12-10	Los Angeles	Houston	4
555	203	2024-12-13	Phoenix	San Antonio	1
556	203	2024-12-04	San Antonio	San Diego	4
557	203	2025-01-29	San Antonio	Dallas	3
558	204	2025-02-19	Dallas	Philadelphia	1
559	204	2025-02-02	San Antonio	Phoenix	1
560	204	2025-02-07	San Diego	Los Angeles	2
561	205	2025-02-03	Phoenix	Los Angeles	3
562	205	2025-02-14	San Jose	Los Angeles	4
563	205	2024-12-17	San Diego	Phoenix	4
564	206	2025-02-11	New York	Phoenix	3
565	206	2025-01-31	San Jose	Los Angeles	4
566	206	2024-12-01	New York	San Jose	4
567	207	2024-12-24	Los Angeles	Chicago	2
568	208	2025-02-09	San Diego	New York	3
569	208	2025-01-04	Philadelphia	San Diego	4
570	208	2024-12-19	Houston	Chicago	1
571	209	2025-02-09	San Antonio	Houston	3
572	210	2025-02-05	Houston	New York	4
573	210	2025-01-19	Dallas	New York	3
574	210	2024-12-24	San Diego	Philadelphia	4
575	210	2025-01-04	Los Angeles	Philadelphia	2
576	210	2025-01-26	Dallas	Los Angeles	4
577	211	2025-02-02	San Jose	San Antonio	2
578	211	2024-11-29	San Jose	Houston	4
579	211	2025-01-24	Dallas	Philadelphia	1
580	212	2025-02-08	San Antonio	Philadelphia	3
581	212	2025-01-09	Phoenix	Los Angeles	3
582	213	2025-02-14	Chicago	San Diego	2
583	213	2025-01-06	Dallas	Phoenix	2
584	213	2024-12-22	Phoenix	New York	1
585	213	2024-12-03	Philadelphia	San Diego	1
586	213	2024-12-13	Los Angeles	San Diego	4
587	214	2025-01-30	San Diego	Chicago	3
588	214	2025-01-03	Philadelphia	Phoenix	2
589	214	2025-01-12	Dallas	Philadelphia	3
590	214	2025-02-23	Philadelphia	San Jose	3
